KEY,de-DE
(hidden)objective_empty_hasseenenemyallylance_primary,(HIDDEN) Objective_Empty_HasSeenEnemyAllyLance_Primary
(hidden)objective_empty_hasseenenemyallylance_secondary,(HIDDEN) Objective_Empty_HasSeenEnemyAllyLance_Secondary
(hidden)objective_empty_hiddenflag_hostiletoallchunkactive,(HIDDEN) Objective_Empty_HiddenFlag_HostileToAllChunkActive
(hidden)objective_empty_hostiletoall_flag_secondary,(HIDDEN) Objective_Empty_HostileToAll_Flag_Secondary
(hidden)objective_hidden_nosecondarykills,(HIDDEN) Objective_Hidden_NoSecondaryKills
(hidden)off,(HIDDEN) OFF
(hidden)timerobjective_1roundsafety_addforces_enemyally_primary,(HIDDEN) TimerObjective_1RoundSafety_AddForces_EnemyAlly_Primary
(hidden)timerobjective_1roundsafety_addforces_enemyally_secondary,(HIDDEN) TimerObjective_1RoundSafety_AddForces_EnemyAlly_Secondary
(hidden)timerobjective_1roundsafety_addforces_primary,(HIDDEN) TimerObjective_1RoundSafety_AddForces_Primary
(hidden)timerobjective_1roundsafety_addforces_secondary,(HIDDEN) TimerObjective_1RoundSafety_AddForces_Secondary
(hidden)timerobjective_1roundsafety_addforces2_primary,(HIDDEN) TimerObjective_1RoundSafety_AddForces2_Primary
(hidden)timerobjective_1roundsafety_addforces2_secondary,(HIDDEN) TimerObjective_1RoundSafety_AddForces2_Secondary
(hidden)timerobjective_hostiletoall_primary,(HIDDEN) TimerObjective_HostileToAll_Primary
(hidden)timerobjective_hostiletoall_secondary,(HIDDEN) TimerObjective_HostileToAll_Secondary
(minimumscore:0)atthisrank^youarejuststartingout^andhavenosignificantaccomplishments*,(Mindestpunktzahl: 0) Auf diesem Rang beginnst du gerade erst deine Laufbahn und kannst noch keine nennenswerten Erfolge vorweisen.
(minimumscore:160^000)youreacompetentmercenarycaptainwithmanycontractsunderyourbelt*,(Mindestpunktzahl: 160.000) Du bist ein erfahrener Söldnerkapitän der schon viele Verträge abgeschlossen hat.
(minimumscore:320^000)youreawell-known^capablemercenary^trustedbymostofthemajorstatesoftheinnersphereandperiphery*,(Mindestpunktzahl: 320.000) Du bist ein bekannter und fähiger Söldner dem die meisten Staaten in der Inneren Sphäre und in der Peripherie vertrauen.
(minimumscore:480^000)youreoneofthebestmercenarycommandersaround^andemployerscompetewitheachothertohireyou*,(Mindestpunktzahl: 480.000) Du gehörst zu den besten Söldneranführern in der Gegend und Auftraggeber streiten sich um deine Dienste.
(minimumscore:640^000)yourreputationprecedesyouwhereveryougo^andopponentshavebeenknowntoquitthefieldratherthanfaceyou*,(Mindestpunktzahl: 640.000) Dein Ruf eilt dir überall voraus und manche deiner Gegner fliehen vom Schlachtfeld anstatt sich dir zu stellen.
(minimumscore:720^000)yourreputationprecedesyouwhereveryougo^andopponentshavebeenknowntoquitthefieldratherthanfaceyou*,(Mindestpunktzahl: 720.000) Dein Ruf eilt dir überall voraus und manche deiner Gegner fliehen vom Schlachtfeld anstatt sich dir zu stellen.
(minimumscore:760^000)yourskillsarethestuffoflegend^andyouarepeerlessandunmatchedonthebattlefield*yournameisknownacrosstheinnersphere*,(Mindestpunktzahl: 760.000) Um deine Fähigkeiten ranken sich Mythen und Legenden. Auf dem Schlachtfeld kann dir niemand das Wasser reichen. Du bist unbesiegbar und dein Name ist in der ganzen Inneren Sphäre bekannt.
(minimumscore:784^000)yourskillsarethestuffoflegend^andyouarepeerlessandunmatchedonthebattlefield*yournameisknownacrosstheinnersphere*,(Mindestpunktzahl: 784.000) Über deine Fähigkeiten ranken sich Mythen und Legenden. Auf dem Schlachtfeld kann dir niemand das Wasser reichen. Du bist unbesiegbar und dein Name ist in der ganzen Inneren Sphäre bekannt.
(minimumscore:80^000)youveworkedtheperipheryasamercenaryforhire*,(Mindestpunktzahl: 80.000) Du bist schon seit einiger Zeit als Söldner in der Peripherie tätig.
(required),(erfordert)
(t),(T)
(target){0}{1}{2}reputation,• (ZIEL) {0}{1} {2} Ruf
(x1)gun,(x1) WAF.
***andanallied{team_emp_ally*factiondef*demonym}lance*intheory^theyretheonesdoingallthework*inpractice***assumetheworst*,... und eine verbündete Lanze {TEAM_EMP_ALLY.FactionDef.Demonym}. In der Theorie machen die die ganze Arbeit. In der Praxis ... rechnen Sie mit dem Schlimmsten.
***andextractsafely*keepthemechcarryingtheartistinonepiece!,... und sorgen Sie dafür dass er unversehrt bleibt. Der Mech mit dem Maler darf nicht zerstört wird!
***andextractsafely*keepthemechcarryingthevipinonepiece!,... und ziehen Sie dann sicher wieder ab. Sorgen Sie dafür dass der Mech mit dem VIP nicht zerstört wird!
***andextractsafelywiththepackageintact*,... und ziehen Sie dann mit dem unversehrten Objekt sicher wieder ab.
***here*,Hier.
***illbeonstation^commander;meetmeherewhenyourereadytoleave*,... Ich halte mich bereit Commander. Wir treffen uns hier wenn Sie bereit zum Abflug sind.
***inthatcase^commander^wereweapons-hot*keepthatvipalive*,... In dem Fall: Waffen frei Commander. Erhalten Sie die VIP am Leben.
***newlineand{0}additionaldestroyedcomponents*newline,...\nUnd {0} zusätzliche zerstörte Komponenten.\n
***soletsreconthearea*whencontactismade^wemuststopanddestroyourtargetbeforeitreachesitsdestination*,... wir sollten das Gebiet also auskundschaften. Wenn wir unser Ziel finden müssen wir es aufhalten und zerstören bevor es den Zielort erreicht.
***soletsscoutoutthetargetarea*whenwevefoundtheconvoy^westopitfromreachingitsdestination*,... spähen wir also das Zielgebiet aus. Sobald wir den Konvoi entdeckt haben sorgen wir dafür dass er sein Ziel nie erreicht.
***tellmesomething^guardsman*iftheroadisclear^whyisyourbattlemechdamaged?,Sagen Sie mir eins Gardist. Wenn die Straße wirklich frei ist warum ist Ihr BattleMech dann beschädigt?
**placeholder,** placeholder
*40ammo,* 40 Munition
*4ammo,* 4 Munition
*8volleys,* 8 Salven
*amercenaryscareer*,*Die Laufbahn eines Söldners*
*artillery,* Artillerie
*energy^ballistic,* Energie Ballistisch
*ignores3evasion,* Ignoriert 3 Ausweichen
*missile,* Rakete
*missingitems*newline,* fehlende Gegenstände *\n
*somesettingswillnotbeapplieduntilnextgameload,* Bestimmte Einstellungen treten erst dann in Kraft wenn das Spiel das nächste Mal geladen wird.
*somevideosettingswillnotbeapplieduntilnextgameload,* Bestimmte Grafikeinstellungen treten erst dann in Kraft wenn das Spiel das nächste Mal geladen wird.
*static*-ell^thisroundisyours**cough*untilnexttime*,[RAUSCHEN] ...a gut diese Runde geht an Sie. [HUSTEN] Bis zum nächsten Mal.
*static*major^thisischu-itetsuhara*mydeepestapologies;weareovercome*,[Rauschen] Major hier spricht <i>Chu-i</i> Tetsuhara. Ich muss in aller Form um Verzeihung bitten. Wir wurden bezwungen.
*tagitemtextgoesheretooltipitemstyle,* Tag Item Text goes here <b> <color=#F79B26>tooltip item style</b></color>
*youmustenteracharacternametocontinue,* Zum Fortfahren musst du einen Namen für deinen Charakter eingeben.
////{company*companyname}*seniorstaffconsistsofthefollowing:newline>>{commander*firstname}{commander*callsign}{commander*lastname}^commander*newline>>dariusoliveira^executiveofficer*newline>>dr*farahmurad^engineer*newline>>yangvirtanen^chiefmechtech*newline>>sumiremeyer^pilotandnavigator*newlineisthismanifestcorrect^commander{commander*lastname}?////,////{COMPANY.CompanyName}. Führungsstab: \n     >>{COMMANDER.FirstName} ""{COMMANDER.Callsign}"" {COMMANDER.LastName} Commander.\n     >>Darius Oliveira ausführender Offizier.\n     >>Dr. Farah Murad technische Leitung.\n     >>Yang Virtanen leitender MechTech.\n     >>Sumire Meyer Pilotin und Navigatorin.\nIst dieses Manifest korrekt Commander {COMMANDER.LastName}?////
////agreed^chiefvirtanen*iwilldowhaticantolureherawayfromtherestofhercompany*////,////Einverstanden Chief Virtanen. Ich werde sehen was ich tun kann um sie vom Rest der Kompanie wegzulocken.////
////allcombatdronesdestroyed*imafraidthatyoureonyourownfortheremainderofthisdeployment^commander*////,////Alle Kampfdrohnen zerstört. Für den Rest der Mission sind Sie leider auf sich allein gestellt Commander.////
////asecondcombatdronehasbeendestroyed*combatgroupnowoperatingathalfstrength*////,////Eine zweite Kampfdrohne wurde zerstört. Die Kampfgruppe ist nur noch halb so stark.////
////aspromised^commander*maythesecombatdronesserveyouwell*////,////Wie versprochen Commander. Mögen diese Kampdrohnen Ihnen gute Dienste erweisen.////
////attritionhasclaimedthelastofmycombatdrones^commander*fromthispointon^yourlanceisonitsown*////,////Den mühsamen Schlachten sind meine letzten Kampfdrohnen zum Opfer gefallen Commander. Ab jetzt ist Ihre Lanze auf sich allein gestellt.////
////beadvised:mycombatdroneshavelefttheao*yourlanceisonitsown*////,////Ich gebe zu bedenken: Meine Kampfdrohnen haben das Missionsgebiet verlassen. Ab jetzt ist Ihre Lanze auf sich allein gestellt.////
////captainmagorianhasbeensafelyrecovered^commander{commander*lastname}*itisinmynaturetofulfillmypromises*////,////Captain Magorian wurde sicher geborgen Commander {COMMANDER.LastName}. Ich wurde programmiert um meine Versprechen zu halten.////
////combatdroneklo-118isdown^commander*mycombatgrouphasbeenreducedtothree-fourthseffectiveness*////,////Kampfdrohne KLO-118 ist außer Gefecht Commander. Die Effektivität meiner Kampfgruppe ist auf 75 % gefallen.////
////commander*ihavestudiedthebaumanngroupsrecordsregardingthederelict^andmysuspicionshavebeenconfirmed*////,////Commander. Ich habe die Aufzeichnungen der Baumann Group über das Wrack genauestens studiert und mein Verdacht hat sich bestätigt.////
////commander{commander*lastname}*ihavebeeninformedofyourimpendingcombatdrop*newlinenewlinewhenyouvetakenthebaumanngroupsdistributioncenter^pleasesendwordtoengineering*dr*muradandiwillstandreadytoanalyzeanyandalldatathatyourecover*////,////Commander {COMMANDER.LastName}. Man hat mich über Ihren bevorstehenden Kampfeinsatz informiert.\n\nWenn Sie das Verteilungszentrum der Baumann Group eingenommen haben informieren Sie bitte den Maschinenraum. Dr. Murad und ich stehen bereit alle Daten zu analysieren die Sie dort vorfinden.////
////damaged^butoperable*starchartsandnavigationlogshavesufferedmildtomoderatedataloss*newlinenewlineinlaypersonsterms^thefilesarescrambled^butnotirreparablyso*restoringthemwilltaketime^however*////,////Beschädigt aber einsatzbereit. Sternenkarten und Navigationslogs weisen geringfügigen bis moderaten Datenverlust auf.\n\nFür Laien: Die Dateien sind beschädigt aber nicht irreparabel. Die Wiederherstellung wird allerdings Zeit in Anspruch nehmen.////
////forthepasthalfacentury^ihavebeenguidingaderelictspacecraftthedobrevtoward[[dm*basedescriptiondefs[loretarragona]^tarragona*ontheeveofitsarrival^itdisappeared*newlinenewlineibelievetheorganizationyouwerefightingtoberesponsibleforthederelictsdisappearance*imustlearnwheretheyhavetakenit*itisimperativethatirecoverthatship*////,////Seit einem halben Jahrhundert steuere ich ein verlassenes Raumschiff die <i>Dobrev</i> Richtung [[DM.BaseDescriptionDefs[LoreTarragona]Tarragona]]. Am Vorabend ihrer Ankunft verschwand sie plötzlich.\n\nIch vermute dass die Organisation gegen die Sie gekämpft haben dafür verantwortlich ist. Ich muss herausfinden wohin sie das Schiff gebracht haben. Es ist unerlässlich dass ich dieses Schiff wiederfinde.////
////forthetimebeing^itappearstobe*thatsaid^isuggestthatyouengageanddestroyherlancematesasquicklyaspossible*newlinenewlinetheblackwidowisalreadyinflictingruinousdamageonmycombatdrones*iwontbeabletokeepheroccupiedforever*////,////Für den Moment sieht es so aus. Ich empfehle Ihnen dennoch Ihre Lanzenkameraden schnellstmöglich anzugreifen und zu vernichten.\n\nDie Black Widow setzt meinen Kampfdrohnen bereits schwer zu. Ich werde sie nicht ewig beschäftigen können.////
////hadprojecttriagebeenadoptedforwidespreaduse^cgvrplatformswouldhavebeenpositionedovermajorpopulationcentersacrossthefrontier*newlinenewlineintheaftermathofacatastrophicevent^acgvrcouldbebroughtonlinetoassessthedamageandgatheranysurvivors*itwouldthenprotectthesurvivingpopulationuntil[[dm*basedescriptiondefs[lorestarleague]^starleaguereliefeffortscouldbegin*////,////Wenn Projekt Triage wirklich in großem Umfang umgesetzt worden wäre wären HumHilf-Plattformen über allen großen Bevölkerungszentren entlang des Grenzgebiets errichtet worden.\n\nIm Falle einer Katastrophe wäre solch eine HumHilf aktiviert worden um die Schäden zu analysieren und Überlebende zu retten. Die verbleibende Bevölkerung wäre dort sicher gewesen bis der [[DM.BaseDescriptionDefs[LoreStarLeague]Sternenbund]] Hilfemaßnahmen eingeleitet hätte.////
////iamorderingmydronestowithdraw^commander*////,////Ich weise meine Drohnen an sich zurückzuziehen Commander.////
////iappreciatethesentiment^doctor*newlinenewlinewilltherebeanythingelse?////,////Ich danke Ihnen dafür Doktor.\n\nBenötigen Sie noch etwas anderes?////
////ibelievethedobrevtobeanartifactof[[dm*basedescriptiondefs[lorekerensky]^generalaleksandrkerenskysexodus*////,////Ich glaube die <i>Dobrev</i> ist ein Relikt von [[DM.BaseDescriptionDefs[LoreKerensky]General Aleksandr Kerensky]]s Exodus.////
////icouldhavemydronesattackanearbyarmory*thisshouldservetolureawaytheprisonsgarrison^clearingthewayforalight^nimblelancetoconducttherescueoperation*newlinenewlinealternatively^icouldliberatecaptainmagorianmyself^butiwouldneedyourlancetoserveasthedistraction*shouldyouchoosethisoption^iwouldrecommendallocatingyourheaviestbattlemechsforthejob*////,////Ich könnte meinen Drohnen den Angriff auf eine in der Nähe befindliche Rüstkammer befehlen. Das sollte reichen um die Gefängnisgarnison wegzulocken sodass eine leichte mobile Lanze Captain Magorian retten könnte.\n\nIch könnte den Captain auch selbst befreien aber Ihre Lanze müsste dann den Lockvogel spielen. Wenn Sie sich für diese Option entscheiden empfehle ich den Einsatz Ihrer schwersten BattleMechs.////
////ififindthem^iwillsendwordtoyou^dr*murad*youhavemypromise*////,////Wenn ich sie finde lasse ich es Sie wissen Dr. Murad. Sie haben mein Wort.////
////ifyourlancerequiresassistance^iwillofcourseprovideit*awordofcaution^however:mycombatdronesarealimitedresource*whentheyaredamagedordestroyed^ihavenowayofreplacingthem*newlinenewlinenobodyaboardthisshiphasthespecializedknowledgerequiredtorepairan[[dm*basedescriptiondefs[loresldf]^sldfcombatdrone^includingme*thosefunctionsweregovernedbydedicatedsystemsaboardmyorbitalplatform*////,////Sollte Ihre Lanze Unterstützung benötigen stehe ich natürlich zur Verfügung. Bedenken Sie nur dass meine Kampfdrohnen keine unerschöpfliche Ressource sind. Wenn sie beschädigt oder zerstört werden kann ich sie nicht ersetzen.\n\nNiemand auf diesem Schiff verfügt über das notwendige Wissen eine [[DM.BaseDescriptionDefs[LoreSLDF]SBVS]]-Kampfdrohne zu reparieren – nicht einmal ich. Diese Funktionen wurden von einem eigens dafür entwickelten System auf meiner Orbitalplattform übernommen.////
////ifyouwish^commander*iwillattempttoprovideyouwithsatisfactoryanswers*////,////Wie Sie wünschen Commander. Ich werde mein Bestes tun Ihnen zufriedenstellende Antworten zu geben.////
////ineedthedobrevsnavigationlogs^notitspayload*ifyouhelpmereclaimtheship^itsremainingcargoisyours*allthatyouneedtodoisdisconnectmymaincomputerfromthisdecayingplatformandbringitaboardtheargo*wewillfindthedobrevtogether*newlinenewlineyouwillwanttorecovermyremainingcombatdronesaswell^ofcourse*therewouldbelittlesenseinleavingthemuncollected*////,////Ich benötige die Navigationslogs der <i>Dobrev</i> nicht ihre Fracht. Wenn Sie mir helfen das Schiff wiederzubeschaffen können Sie mit der Fracht machen was Sie möchten. Dazu müssen Sie lediglich meinen Hauptrechner von dieser verfallenden Plattform abkapseln und ihn auf die <i>Argo</i> bringen. Wir werden die <i>Dobrev</i> gemeinsam finden.\n\nSie sollten außerdem meine verbleibenden Kampfdrohnen mit an Bord nehmen. Es wäre wenig sinnvoll sie hier zurückzulassen.////
////itmeansthatineedyourhelp*myprimaryobjectivetheprotectionof[[dm*basedescriptiondefs[lorenewvulci]^newvulciscivilianpopulationhasfailed*now^iamcompelledtoreportmyfailureto[[dm*basedescriptiondefs[loresldf]^sldfcentralcommand*newlinenewlinewiththedobrevsnavigationlogs^icanattempttodothattoretracethestepsofkerenskysexodusandfindoutwhatbecameofthe[[dm*basedescriptiondefs[lorestarleague]^starleague*////,////Das bedeutet dass ich Ihre Hilfe benötige. Ich konnte meine primäre Aufgabe den Schutz der Zivilbevölkerung von [[DM.BaseDescriptionDefs[LoreNewVulci]Neu Vulci]] nicht erfüllen. Deshalb muss ich mein Versagen dem [[DM.BaseDescriptionDefs[LoreSLDF]SBVS]]-Zentralkommando melden.\n\nDazu benötige ich die Navigationslogs der <i>Dobrev</i> mit denen ich hoffentlich den Weg von Kerenskys Exodus zurückverfolgen und so herausfinden kann was aus dem [[DM.BaseDescriptionDefs[LoreStarLeague]Sternenbund]] geworden ist.////
////iwilldeploymycombatdronestoassistyou*inreturn^youwillgrantmeaccesstothe[[dm*basedescriptiondefs[lorebaumanngroup]^baumanngroupscomputersystemsafteryourescuecaptainmagorian*newlinenewlinethisarrangementshouldprovepurelybeneficialtoyouandyourcompany*iasknothingthatyoucannotgivemeforfree*////,////Ich werde meine Kampfdrohnen aussenden um Sie zu unterstützen. Im Gegenzug gewähren Sie mir Zugriff auf die Computersysteme der [[DM.BaseDescriptionDefs[LoreBaumannGroup]Baumann Group]] nachdem Sie Captain Magorian gerettet haben.\n\nDiese Übereinkunft sollte für Sie und Ihre Kompanie von Vorteil sein. Ich verlange nichts von Ihnen was Sie etwas kosten würde.////
////iwillreturntostandbystatus^commander*pleasehavedr*muradbringmebackonlinewhenyouvepickedupthedobrevstrail*newlinenewlinemr*oliveira^isuggestthatyoufocusyoursearchon[[dm*basedescriptiondefs[loremantharaka]^mantharaka*judgingbythefilesiwasabletorecover^ithinkitlikelythatthederelictwastakenthere^thoughicouldnotfindexactcoordinates*////,////Ich werde in den Standby-Modus zurückkehren Commander. Veranlassen Sie Dr. Murad bitte dazu mich wieder zu aktivieren sobald Sie die Spur der <i>Dobrev</i> aufgenommen haben.\n\nIch schlage vor Sie konzentrieren Ihre Suche auf [[DM.BaseDescriptionDefs[LoreMantharaka]Mantharaka]] Mr. Oliveira. Ausgehend von den Dateien die ich wiederherstellen konnte halte ich es für wahrscheinlich dass das Wrack dorthin gebracht wurde die genauen Koordinaten kann ich jedoch nicht bestimmen.////
////moderbjörn*swedish*englishtranslation:motherbear*newlinenewlineibelievethatthenamewasintendedtohumanizeme*itisalsoevocativeofmyprimarydirective:thegatheringandprotectionofdisastersurvivorsinthisscenario^mymetaphoricalcubs*////,////Moderbjörn. Schwedisch. Deutsche Übersetzung: ""Mamabär.""\n\nIch glaube dieser Name sollte mich menschlicher machen. Er passt auch gut zu meiner primären Aufgabe: Katastrophenopfer aufsammeln und beschützen. In diesem Fall metaphorisch gesehen meine ""Jungen"".////
////moderbjrn*swedish*englishtranslation:motherbear*newlinenewlineibelievethatthenamewasintendedtohumanizeme*itisalsoevocativeofmyprimarydirective:thegatheringandprotectionofdisastersurvivorsinthisscenario^mymetaphoricalcubs*////,////Moderbjörn. Schwedisch. Deutsche Übersetzung: ""Mamabär.""\n\nIch glaube dieser Name sollte mich menschlicher machen. Er passt auch gut zu meiner primären Aufgabe: Katastrophenopfer aufsammeln und beschützen. In diesem Fall metaphorisch gesehen meine ""Jungen"".////
////mycombatdronesarestandingbyandreadytoassistinyourrescueefforts*alliaskinreturnisaccesstothebaumanngroupscomputersystems*newlinenewlinethisarrangementshouldprovepurelybeneficialtoyouandyourcompany^commander*iasknothingthatyoucannotgivemeforfree*////,////Meine Kampfdrohnen stehen bereit um Ihnen bei den Rettungsmaßnahmen unter die Arme zu greifen. Im Gegenzug möchte ich lediglich Zugriff auf die Computersysteme der Baumann Group erhalten.\n\nDiese Übereinkunft sollte für Sie und Ihre Kompanie von Vorteil sein Commander. Ich verlange nichts von Ihnen was Sie etwas kosten würde.////
////mydronesareonlineandreadytoassistyou^commander*theywilldividetheenemyandprovideyouwithfiresupport*////,////Meine Drohnen sind online und stehen zur Unterstützung bereit Commander. Sie werden die Aufmerksamkeit des Feindes auf sich lenken und Ihnen Feuerunterstützung geben.////
////mydroneshavealreadyengagedthebaumanngroupsarmory^mr*oliveira*itisinmynaturetofulfillmypromises*////,////Meine Drohnen haben bereits mit dem Angriff auf die Rüstkammer der Baumann Group begonnen Mr. Oliveira. Ich wurde programmiert um meine Versprechen zu halten.////
////mydroneshavebeeneliminated^commander*icannotassistyouanyfurtheronthiscombatdrop*////,Meine Drohnen wurden zerstört Commander. Bei diesem Kampfeinsatz kann ich Sie nicht länger unterstützen.////
////myofficialdesignationissldf_pt_cgvr*iamthelastsurvivingproductofprojecttriage^authorized2765*06*12bymajorgeneraljeremymclainofthe19tharmy^lvicorps*ihavealsobeenprogrammedtorespondtoanyofthefollowinginformaldesignations:newline>>caregiver*newline>>denmother*newline>>moderbjörn*newlineyoumayrefertomeusinganyoftheabovealiases*////,////Meine offizielle Bezeichnung lautet SBVS_PT_HumHilf. Ich bin das letzte noch funktionsfähige System von Projekt Triage am 12.06.2765 von Major General Jeremy McLain der 19. Armee LVI. Korps in Dienst gestellt. Ich wurde außerdem programmiert auf die folgenden informellen Bezeichnungen zu reagieren:\n     >>""Humanitäre Hilfe.""\n     >>""Muttertier.""\n     >>""Moderbjörn.""\nSie können all diese Bezeichnungen für mich verwenden.////
////myofficialdesignationissldf_pt_cgvr*iamthelastsurvivingproductofprojecttriage^authorized2765*06*12bymajorgeneraljeremymclainofthe19tharmy^lvicorps*ihavealsobeenprogrammedtorespondtoanyofthefollowinginformaldesignations:newline>>caregiver*newline>>denmother*newline>>moderbjrn*newlineyoumayrefertomeusinganyoftheabovealiases*////,////Meine offizielle Bezeichnung lautet SBVS_PT_HumHilf. Ich bin das letzte noch funktionsfähige System von Projekt Triage am 12.06.2765 von Major General Jeremy McLain der 19. Armee LVI. Korps in Dienst gestellt. Ich wurde außerdem programmiert auf die folgenden informellen Bezeichnungen zu reagieren:\n     >>""Humanitäre Hilfe.""\n     >>""Muttertier.""\n     >>""Moderbjörn.""\nSie können all diese Bezeichnungen für mich verwenden.////
////myremainingcombatdronesarereadytodeploy^commander{commander*lastname}*theywillprovidefiresupportforyourlanceinthefield*////,////Meine verbleibenden Kampfdrohnen stehen zum Einsatz bereit Commander {COMMANDER.LastName}. Sie werden Ihrer Lanze auf dem Schlachtfeld Feuerunterstützung geben.////
////negative^mr*oliveira*sheisalmostcertainlyonherwaytoobliteratethespaceport*////,////Negativ Mr. Oliveira. Sie ist mit hoher Wahrscheinlichkeit auf dem Weg den Weltraumhafen zu zerstören.////
////notprecisely*iwasdesignedtoprojectaconvincingfacsimileofhumanintelligence*tothatend^iamcapableofadaptingtonovelsituationsandlearningfrommymistakes*butmycapabilitiesareintentionallylimitedcomparedtothoseofatrue[[dm*basedescriptiondefs[loresldf]^sldf-authoredai*////,////Nicht ganz. Ich wurde entwickelt um menschliche Intelligenz überzeugend zu imitieren. Deshalb bin ich auch in der Lage mich neuen Situationen anzupassen und aus meinen Fehlern zu lernen. Meine Fähigkeiten sind jedoch im Vergleich zu einer echten [[DM.BaseDescriptionDefs[LoreSLDF]SBVS]]-KI absichtlich eingeschränkt.////
////oneofmycombatdronesisdown^commander*iwillattempttopushbacktheenemywiththeremainder*////,////Eine meiner Kampfdrohnen ist außer Gefecht Commander. Ich werde versuchen den Feind mit den übrigen zurückzudrängen.////
////ourcauseislost^commander*iadviseyoutosalvagewhatyoucanandgo*////,////Dieser Kampf ist verloren Commander. Ich rate Ihnen zu retten was noch zu retten ist und sich schnellstens zurückzuziehen.////
////ourmissionhasfailed^commander*salvagewhatyoucanandgo*iwillseekouttheinformationineedonmyown*////,////Unsere Mission ist fehlgeschlagen Commander. Retten Sie was noch zu retten ist und ziehen Sie sich schnellstens zurück. Ich werde die benötigten Informationen auf eigene Faust erlangen.////
////pickupthepiecesofyourlanceandgo^commander*ourmissionhasfailed*////,////Holen Sie die Überreste Ihrer Lanze dort raus und ziehen Sie sich zurück Commander. Unsere Mission ist gescheitert.////
////technically^yes*asisaid^theshipsk-fdriveisdamagedandperhapsunstable*butitisstilltechnicallyoperableforthetimebeing*////,////Genau genommen ja. Wie gesagt der K-F-Antrieb des Schiffs ist beschädigt und möglicherweise instabil. Aber strenggenommen ist er funktionsfähig ... fürs Erste.////
////thankyou^commander*newlinenewlinepleaseensurethatdr*muradistheretoleadthem*mymemorycorewasnotdesignedasaportablesystem^anditwouldbeunfortunateifitgotdamagedintransit*////,////Vielen Dank Commander.\n\nBitte stellen Sie sicher dass Dr. Murad präsent ist und sie anweist. Mein Speicherkern wurde nicht als tragbares System konzipiert und es wäre eine Schande wenn er auf dem Weg beschädigt würde.////
